OBJECTID,WD19CD,WD19NM,WD19NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
5097,E05010822,Ravensthorpe, ,517380,300055,-0.26888,52.58565,3368477.90361023,8604.54585422504,9c270583-8742-4c19-b94d-257f8e23ea21
5098,E05010823,Stanground South, ,520942,296013,-0.2178,52.54855,4520647.52435303,13469.2142761092,bc7d4a5d-1990-425a-a5c6-ab8e5aeeaaec
5099,E05010824,Werrington, ,516525,303956,-0.28012,52.62089,3443849.52116394,8291.95169392922,769349d8-44f2-4390-bd47-72a5b827b3c4
5100,E05010825,West, ,516173,298370,-0.28727,52.57077,3599902.49862671,9257.97503329928,fcf2e5b5-ad74-412f-9060-cc495cad3935
5101,E05010826,Wittering, ,505375,300811,-0.44576,52.5949,32186856.6792297,33409.6083120252,bbd678fe-fd3f-432c-af2f-a9bd077cf187
5102,E05010827,Berechurch, ,599892,222089,0.901619,51.86157,6488653.23902893,12133.6864040652,5786c263-3c58-496f-9dfe-479f6303311b
5103,E05010828,Castle, ,599782,225677,0.902099,51.89383,3512779.73097992,10303.6528054326,81216262-8705-43fb-9289-0a4e63ee9212
5104,E05010829,Greenstead, ,602057,225036,0.93474,51.88726,2930744.12184906,9761.34902165637,03f626e4-02b3-4b12-b68e-6e2db30835cd
5105,E05010830,Highwoods, ,600993,227869,0.920953,51.91308,3589898.26587677,10053.2700452556,b1c06188-6416-442b-9546-1415ec3fbc08
5106,E05010831,Lexden and Braiswick, ,595463,227017,0.840174,51.90739,28977637.8174591,38538.1186486362,f2854958-f9df-4c21-9ef3-d23279e211b4
5107,E05010832,Marks Tey and Layer, ,593034,218964,0.800408,51.83592,82552026.3484879,68172.4749883206,ddbdb33a-8906-4d2c-892d-dbca05668fec
5108,E05010833,Mersea and Pyefleet, ,601503,216857,0.921938,51.81401,64053901.9869461,49390.2055652282,c5a3af57-27fd-4f05-9218-c474471371e9
5109,E05010834,Mile End, ,599195,227901,0.894866,51.91401,6359100.23012543,14731.7205964394,2e71a7d0-2070-41e8-a047-f8ef03f235cc
5110,E05010835,New Town and Christ Church, ,599541,224435,0.897883,51.88276,2530881.65623474,8898.58903917796,443ec2e0-7ef8-4258-9410-6fe2566e7220
5111,E05010836,Old Heath and The Hythe, ,601945,222148,0.931427,51.86136,8813888.76208496,16125.4823237393,137a1d28-683b-4c3a-8f42-7b46de0b6352
5112,E05010837,Prettygate, ,596992,224138,0.860727,51.881,2684954.00252533,7513.33969235599,318db295-7ffe-4bd8-a7b6-4442c8924339
