Hi Eli,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,Year,Month
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children with Disabilities,31005,Fees (Including Agents Fees),441450,05/08/2020,1900570785,2016.0,Brooks & Brooks Recruitment,116689,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children with Disabilities,31005,Fees (Including Agents Fees),441450,05/08/2020,1900570784,2016.0,Brooks & Brooks Recruitment,116689,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children with Disabilities,31005,Fees (Including Agents Fees),441450,05/08/2020,1900570796,2016.0,Brooks & Brooks Recruitment,116689,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children with Disabilities,31005,Fees (Including Agents Fees),441450,05/08/2020,1900570786,2016.0,Brooks & Brooks Recruitment,116689,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Children with Disabilities,31005,Fees (Including Agents Fees),441450,20/07/2020,1900565975,2016.0,Brooks & Brooks Recruitment,116683,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Finance Office Services,42110,Consult.& Prof. Serv,440000,05/08/2020,1900570788,1786.0,BSI - British Standards,106453,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Urban Traffic Management Control,44370,Signal Management,531600,07/08/2020,1900571113,996.84,BT,104542,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Fostering Placements,30003,Fostering Accommodation,441050,14/08/2020,1900573476,6328.0,By The Bridge UK,103173,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Fostering Placements,30003,Fostering Accommodation,441050,14/08/2020,1900573414,4304.0,By The Bridge UK,103173,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Fostering Placements,30003,Fostering Accommodation,441050,14/08/2020,1900573432,3577.0,By The Bridge UK,103173,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Fostering Placements,30003,Fostering Accommodation,441050,14/08/2020,1900573480,3650.0,By The Bridge UK,103173,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,06/08/2020,1900571048,513.8,C & D Family Care,117387,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,13/08/2020,1900573253,513.8,C & D Family Care,117387,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,26/08/2020,1900576100,513.8,C & D Family Care,117387,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,CP-Domicil.External,440950,26/08/2020,1900576491,513.8,C & D Family Care,117387,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Finance Office Services,42110,ICT Comms - Device Rental,450400,17/02/2020,1900516619,693.12,Canon (Uk) Ltd,100465,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Finance Office Services,42110,ICT Comms - Device Rental,450400,17/02/2020,1900516618,693.12,Canon (Uk) Ltd,100465,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Housing Benefit,10340,Computer Software - Purchase,450800,24/07/2020,1900567362,1800.0,Capita Business Services Ltd,105516,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Complex Families,31800,Training,190150,04/08/2020,1900570283,2867.88,Capita Business Services Ltd,105516,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Fostering Placements,30003,Fostering Accommodation,441050,14/08/2020,1900573439,5200.0,Care 4 Children,114784,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase - East,54060,Supported Accommodation,440975,04/08/2020,1900570763,2784.06,Care Wish Ltd,116529,2020,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Care Purchase Budget,54490,CP Free Nursing Care External,443500,17/08/2020,1900574107,4414.08,CareConcepts (Appleton) Ltd,105804,2020,August
