BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,Year,Month
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG - Medical Needs,32002,Eotas Pupil Funding,490350,02/08/2022,5100502846,4865.9,Network Ventures Ltd,110554,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Building Facilities,41112,Cleaning Materials,400450,12/07/2022,5100502847,1005.0,IIC Products Limited,104677,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Building Facilities,41112,Cleaning Materials,400450,12/07/2022,5100502847,675.0,IIC Products Limited,104677,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Padgate House,54760,Agency Supply - GF,180000,13/07/2022,5100502899,1076.34,Abicare Health Solutions Ltd,118769,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Padgate House,54760,Agency Supply - GF,180000,13/07/2022,5100502900,1947.93,Abicare Health Solutions Ltd,118769,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Diesel,300100,13/07/2022,5100502932,31065.1,Standard Fuel Oils Ltd,117478,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Petrol,300050,13/07/2022,5100502933,2994.8,Standard Fuel Oils Ltd,117478,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Crematorium,41411,Resaleables,400600,13/07/2022,5100502934,6640.0,Nubox Limited,116991,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Traffic and Safety,44350,Equipment Purchase & Contract,400000,02/08/2022,5100502935,1000.0,Adarak Ltd,118747,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,Refugees,60300,Consult.& Prof. Serv,440000,13/07/2022,5100502950,528.0,Care UK,116205,2022,August
