BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Bewsey Old School,45159,Consult.& Prof. Serv,440000,06/03/2023,5100523813,2713,Ellis Williams Architects,103022
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Consult.& Prof. Serv,440000,01/03/2023,5100523824,2380,Tracsis Traffic Data Limited,116780
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Virtual School,31112,Looked after children in Warrington,301000,19/01/2023,5100523908,766.16,St Mary & St Thomas C of E Primary,113394
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Or Winter Maint,44280,Precautionary Salting,531750,28/02/2023,5100523915,3374.94,Salt Union Ltd,105104
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,19/01/2023,5100523947,530,Nymas Group,118367
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Building Facilities,41112,Annual Maintenance,442100,19/01/2023,5100523970,1300,Redacted for personal data,107992
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Or Winter Maint,44280,Precautionary Salting,531750,28/02/2023,5100523983,6662.03,Salt Union Ltd,105104
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Or Winter Maint,44280,Precautionary Salting,531750,28/02/2023,5100523984,15069.32,Salt Union Ltd,105104
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Or Winter Maint,44280,Stationery,430150,28/02/2023,5100523985,2729.1,Salt Union Ltd,105104
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,Debt Management Expenses,62080,Consult.& Prof. Serv,440000,20/03/2023,5100524049,50000,Link Treasury Services Ltd,116513
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Veh Maint. Materials,300000,23/03/2023,5100524055,671.99,North West Truck Services Ltd,104980
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Local Plan,43445,Corporate Initiative,491000,02/03/2023,5100524261,16450.1,Cushman & Wakefield Debenham Tie Le,116480
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Housing Projects,82008,Minor Adaptations<œ750,400700,06/03/2023,5100524552,1468.8,Warrington Housing Current Acc,101208
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Inter Authority Recoupment,32009,Fees (Including Agents Fees),441450,08/03/2023,5100524569,5330,Lancashire County Council,410062
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,IGO,Property & Estates,86001,Consult.& Prof. Serv,440000,06/03/2023,5100524631,3000,Marston & Grundy LLP,118080
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Core Operational Business,41730,Materials,400500,13/03/2023,5100524656,877.5,Rigby Taylor Ltd,105070
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Schools (Street Scene),41733,Materials,400500,13/03/2023,5100524656,877.5,Rigby Taylor Ltd,105070
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Maintenance Work - Sub Contractors,301150,23/03/2023,5100524682,720,Hgv Fleet Cleaning Services Ltd,102071
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Veh Maint. Materials,300000,06/03/2023,5100524834,643.11,F R Sharrock Ltd,105122
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Veh Maint. Materials,300000,06/03/2023,5100524835,1526.58,F R Sharrock Ltd,105122
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Training,190150,23/03/2023,5100524840,1382.5,Stockport HGV Training Centre,114894
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Virtual School,31112,Adults Books,400300,07/03/2023,5100524877,810,Livewire,110692
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Open Spaces,82006,Equipment Purchase & Contract,400000,27/01/2023,5100524943,1902,Griffin Contracting Services,114529
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Oil - Lubricating,301300,30/01/2023,5100525195,4320,Goldcrest Oil Ltd,109000
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Housing Projects,82008,Minor Adaptations<œ750,400700,07/03/2023,5100525197,6003,Warrington Housing Current Acc,101208
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,IGO,Property & Estates,86001,Consult.& Prof. Serv,440000,07/03/2023,5100525210,612,Spawforths Rolinson Ltd,118108
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,IGO,Property & Estates,86001,Consult.& Prof. Serv,440000,07/03/2023,5100525212,949.2,Spawforths Rolinson Ltd,118108
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Independent School Fees,32011,Fees (Including Agents Fees),441450,07/03/2023,5100525262,1765.57,Withington Girls School,400331
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways LTP,82004,Consult.& Prof. Serv,440000,07/03/2023,5100525284,2320,SOCOTEC UK Limited,115555
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Public Health Licensing,41550,Consult.& Prof. Serv,440000,06/03/2023,5100525710,1780,Buckingham Futures,118389
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,NEO,IT Projects,83003,Computer Hardware - Purchase,450700,13/03/2023,5100525711,3199.6,Daisy Corp Services Trading Ltd,107866
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Open Spaces,82006,Equipment Purchase & Contract,400000,01/02/2023,5100525741,1902,Griffin Contracting Services,114529
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Park Development Sites,41423,Materials,400500,01/02/2023,5100525749,658,Agrovista Uk Ltd,101700
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,02/02/2023,5100525864,840,Newlyn Healthcare Ltd,101429
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,02/02/2023,5100525865,769,Newlyn Healthcare Ltd,101429
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,02/02/2023,5100525866,581,Newlyn Healthcare Ltd,101429
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,02/02/2023,5100525867,945,Newlyn Healthcare Ltd,101429
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Inter Authority Recoupment,32009,Fees (Including Agents Fees),441450,07/03/2023,5100525878,4467.92,Delamere School,400523
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Independent School Fees,32011,Fees (Including Agents Fees),441450,08/03/2023,5100525945,5477.75,Cedar House School,111289
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,CYP,Childrens & Young People,81000,Consult.& Prof. Serv,440000,07/03/2023,5100526014,611,Keelagher Okey Klein,102651
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Free Hol act. and healthy food for CIN,31501,"Campaigns,  Projects and Events",491950,28/02/2023,5100526017,11000,Let's Be Kids ltd,117691
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,Heat Network Distribution Unit,62092,Consult.& Prof. Serv,440000,06/03/2023,5100526035,40888.8,Ramboll Uk Ltd,104002
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,DSG Independent School Fees,32011,Fees (Including Agents Fees),441450,07/03/2023,5100526051,3555.56,Thompsons Academy Ltd,119084
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,ICT Networks,23400,Computer Software - Maintenance,450850,06/03/2023,5100526234,2200.1,Softcat,109539
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,ICT & Business Improvement,23020,Computer Software - Maintenance,450850,06/02/2023,5100526243,34400,Agile Applications Limited,100376
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Penketh Court,43631,Fees (Including Agents Fees),441450,06/02/2023,5100526245,30660.05,Torus,101005
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Penketh Court,43631,Fees (Including Agents Fees),441450,06/02/2023,5100526246,30660.05,Torus,101005
